"DJ"	"DAS"	"sim"	"Expe"	"Type"
729	53	302.804346086684	"SILIGOOT"	"monocrop_faba"
740	54	303.606958709264	"SILIGOOT"	"monocrop_faba"
753	55	304.385107667677	"SILIGOOT"	"monocrop_faba"
765	56	304.96844553413	"SILIGOOT"	"monocrop_faba"
775	57	305.372822421484	"SILIGOOT"	"monocrop_faba"
785	58	305.714875395214	"SILIGOOT"	"monocrop_faba"
794	59	305.97731460422	"SILIGOOT"	"monocrop_faba"
805	60	306.24857753027	"SILIGOOT"	"monocrop_faba"
818	61	306.510662586698	"SILIGOOT"	"monocrop_faba"
828	62	306.676593678277	"SILIGOOT"	"monocrop_faba"
838	63	306.816748042708	"SILIGOOT"	"monocrop_faba"
844	64	306.89015252835	"SILIGOOT"	"monocrop_faba"
853	65	306.987197688884	"SILIGOOT"	"monocrop_faba"
861	66	307.061891429688	"SILIGOOT"	"monocrop_faba"
866	67	307.103692269101	"SILIGOOT"	"monocrop_faba"
868	68	307.119446698678	"SILIGOOT"	"monocrop_faba"
874	69	307.163631594572	"SILIGOOT"	"monocrop_faba"
878	70	307.190689964757	"SILIGOOT"	"monocrop_faba"
883	71	307.222033761357	"SILIGOOT"	"monocrop_faba"
886	72	307.239604363882	"SILIGOOT"	"monocrop_faba"
888	73	307.250831561156	"SILIGOOT"	"monocrop_faba"
888	74	307.250831561156	"SILIGOOT"	"monocrop_faba"
889	75	307.256304065482	"SILIGOOT"	"monocrop_faba"
894	76	307.282317607002	"SILIGOOT"	"monocrop_faba"
901	77	307.315224225134	"SILIGOOT"	"monocrop_faba"
907	78	307.34048288625	"SILIGOOT"	"monocrop_faba"
911	79	307.355949489324	"SILIGOOT"	"monocrop_faba"
919	80	307.383906065416	"SILIGOOT"	"monocrop_faba"
929	81	307.413917347282	"SILIGOOT"	"monocrop_faba"
939	82	307.439245767753	"SILIGOOT"	"monocrop_faba"
949	83	307.460621424317	"SILIGOOT"	"monocrop_faba"
960	84	307.480301978816	"SILIGOOT"	"monocrop_faba"
968	85	307.492475476801	"SILIGOOT"	"monocrop_faba"
974	86	307.500580065188	"SILIGOOT"	"monocrop_faba"
982	87	307.510178768413	"SILIGOOT"	"monocrop_faba"
989	88	307.5175722737	"SILIGOOT"	"monocrop_faba"
993	89	307.521418997232	"SILIGOOT"	"monocrop_faba"
994	90	307.522340551216	"SILIGOOT"	"monocrop_faba"
1000	91	307.527553089098	"SILIGOOT"	"monocrop_faba"
1007	92	307.532999851072	"SILIGOOT"	"monocrop_faba"
1016	93	307.539115780332	"SILIGOOT"	"monocrop_faba"
1026	94	307.544900322319	"SILIGOOT"	"monocrop_faba"
1035	95	307.549329875351	"SILIGOOT"	"monocrop_faba"
1045	96	307.5535193715	"SILIGOOT"	"monocrop_faba"
1056	97	307.557376224017	"SILIGOOT"	"monocrop_faba"
1065	98	307.560037738199	"SILIGOOT"	"monocrop_faba"
1073	99	307.562085138647	"SILIGOOT"	"monocrop_faba"
1083	100	307.564282631399	"SILIGOOT"	"monocrop_faba"
1092	101	307.565965342014	"SILIGOOT"	"monocrop_faba"
1101	102	307.567409566461	"SILIGOOT"	"monocrop_faba"
1109	103	307.568520544976	"SILIGOOT"	"monocrop_faba"
19	1	0	"SILIGOOT"	"intercrop_aviso_RRF"
39	2	0	"SILIGOOT"	"intercrop_aviso_RRF"
58	3	0	"SILIGOOT"	"intercrop_aviso_RRF"
79	4	0	"SILIGOOT"	"intercrop_aviso_RRF"
98	5	0	"SILIGOOT"	"intercrop_aviso_RRF"
115	6	0.44394576048509	"SILIGOOT"	"intercrop_aviso_RRF"
